MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Control Features,Current - Output,Current - Quiescent (Iq),Current - Supply (Max),Number of Regulators,Operating Temperature,Output Configuration,Output Type,PSRR,Protection Features,Series,Voltage - Input (Max),Voltage - Output (Max),Voltage - Output (Min/Fixed),Voltage Dropout (Max)
AP2112K-1.8TRG1,Diodes Incorporated,IC REG LINEAR 1.8V 600MA SOT-25,pmic-voltage-regulators-linear,1475,0.23,"SC-74A, SOT-753",Surface Mount,Active,https://www.diodes.com/assets/Datasheets/AP2112.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/AP2112K-1-8TRG1/4470745,Enable,600mA,80 µA,,1,-40°C ~ 85°C,Positive,Fixed,65dB (100Hz ~ 1kHz),"Over Current, Over Temperature",,6V,,1.8V,0.7V @ 600mA
AP2112K-3.3TRG1,Diodes Incorporated,IC REG LINEAR 3.3V 600MA SOT-25,pmic-voltage-regulators-linear,32149,0.25,"SC-74A, SOT-753",Surface Mount,Active,https://www.diodes.com/assets/Datasheets/AP2112.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/AP2112K-3-3TRG1/4470746,Enable,600mA,80 µA,,1,-40°C ~ 85°C,Positive,Fixed,65dB (100Hz ~ 1kHz),"Over Current, Over Temperature",,6V,,3.3V,0.4V @ 600mA
AP2114HA-3.3TRG1,Diodes Incorporated,IC REG LINEAR 3.3V 1A SOT-223-3,pmic-voltage-regulators-linear,21186,0.29,"TO-261-4, TO-261AA",Surface Mount,Active,https://www.diodes.com/assets/Datasheets/AP2114.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/AP2114HA-3-3TRG1/4770627,,1A,90 µA,,1,-40°C ~ 85°C,Positive,Fixed,65dB (100Hz ~ 1kHz),"Over Current, Over Temperature",,6V,,3.3V,0.75V @ 1A
AP2127K-3.3TRG1,Diodes Incorporated,IC REG LINEAR 3.3V 300MA SOT23-5,pmic-voltage-regulators-linear,72460,0.21,"SC-74A, SOT-753",Surface Mount,Active,https://www.diodes.com/assets/Datasheets/AP2127.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/AP2127K-3-3TRG1/4470786,,300mA,90 µA,,1,-40°C ~ 85°C,Positive,Fixed,68dB ~ 54dB (100Hz ~ 10kHz),"Over Current, Over Temperature",,6V,,3.3V,0.3V @ 300mA
AP2210K-3.3TRG1,Diodes Incorporated,IC REG LINEAR 3.3V 300MA SOT23-5,pmic-voltage-regulators-linear,45648,0.22,"SC-74A, SOT-753",Surface Mount,Active,https://www.diodes.com/assets/Datasheets/AP2210.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/AP2210K-3-3TRG1/4470819,Enable,300mA,180 µA,15 mA,1,-40°C ~ 85°C,Positive,Fixed,75dB (100Hz),"Over Current, Over Temperature, Reverse Polarity",,13.2V,,3.3V,0.5V @ 300mA
AP2210K-5.0TRG1,Diodes Incorporated,IC REG LINEAR 5V 300MA SOT23-5,pmic-voltage-regulators-linear,1113,0.28,"SC-74A, SOT-753",Surface Mount,Active,https://www.diodes.com/assets/Datasheets/AP2210.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/AP2210K-5-0TRG1/4470820,Enable,300mA,180 µA,15 mA,1,-40°C ~ 85°C,Positive,Fixed,75dB (100Hz),"Over Current, Over Temperature, Reverse Polarity",,13.2V,,5V,0.5V @ 300mA
AP2210K-ADJTRG1,Diodes Incorporated,IC REG LIN POS ADJ 300MA SOT23-5,pmic-voltage-regulators-linear,129807,0.3,"SC-74A, SOT-753",Surface Mount,Active,https://www.diodes.com/assets/Datasheets/AP2210.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/AP2210K-ADJTRG1/4470821,Enable,300mA,180 µA,15 mA,1,-40°C ~ 85°C,Positive,Adjustable,75dB (100Hz),"Over Current, Over Temperature, Reverse Polarity",,13.2V,12.7V,1.25V,0.5V @ 300mA
AP7366-W5-7,Diodes Incorporated,IC REG LIN POS ADJ 600MA SOT-25,pmic-voltage-regulators-linear,17317,0.24,"SC-74A, SOT-753",Surface Mount,Active,https://www.diodes.com/assets/Datasheets/products_inactive_data/AP7366.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/AP7366-W5-7/9867323,"Current Limit, Enable",600mA,80 µA,,1,-40°C ~ 85°C (TA),Positive,Adjustable,75dB ~ 55dB (1kHz ~ 10kHz),"Over Current, Short Circuit",,6V,5V,0.8V,
AS78L05RTR-E1,Diodes Incorporated,IC REG LINEAR 5V 100MA SOT89-3,pmic-voltage-regulators-linear,60117,0.13,TO-243AA,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/657/AS78Lxx_Aug2013_DS.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/AS78L05RTR-E1/4470943,,100mA,5.5 mA,,1,-40°C ~ 125°C,Positive,Fixed,62dB (120Hz),"Over Temperature, Short Circuit",,30V,,5V,1.8V @ 100mA (Typ)
AS78L05RTR-G1,Diodes Incorporated,IC REG LINEAR 5V 100MA SOT89-3,pmic-voltage-regulators-linear,26134,0.19,TO-243AA,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/657/AS78Lxx_Aug2013_DS.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/AS78L05RTR-G1/4470944,,100mA,5.5 mA,,1,-40°C ~ 125°C,Positive,Fixed,62dB (120Hz),"Over Temperature, Short Circuit",,30V,,5V,1.8V @ 100mA (Typ)
